X,CH1,CH2,,
Sequence,Volt,Volt,,
733,1.08E+00,2.56E+00,,
734,1.16E+00,2.44E+00,,
735,1.04E+00,2.56E+00,,
736,1.12E+00,2.44E+00,,
737,9.60E-01,2.56E+00,,
738,1.04E+00,2.48E+00,,
739,9.20E-01,2.56E+00,,
740,1.00E+00,2.48E+00,,
741,8.80E-01,2.56E+00,,
742,9.60E-01,2.48E+00,,
743,8.00E-01,2.56E+00,,
744,8.80E-01,2.48E+00,,
745,7.60E-01,2.52E+00,,
746,8.40E-01,2.48E+00,,
747,6.80E-01,2.52E+00,,
748,7.60E-01,2.48E+00,,
749,6.40E-01,2.56E+00,,
750,7.20E-01,2.48E+00,,
751,6.00E-01,2.56E+00,,
752,6.40E-01,2.48E+00,,
753,5.20E-01,2.56E+00,,
754,6.00E-01,2.48E+00,,
755,4.40E-01,2.56E+00,,
756,5.20E-01,2.56E+00,,
757,4.00E-01,2.44E+00,,
758,4.80E-01,2.44E+00,,
759,3.60E-01,2.56E+00,,
760,4.40E-01,2.44E+00,,
761,2.80E-01,2.48E+00,,
762,3.60E-01,2.48E+00,,
763,2.40E-01,2.40E+00,,
764,3.20E-01,2.52E+00,,
765,1.60E-01,2.40E+00,,
766,2.40E-01,2.40E+00,,
767,8.00E-02,2.48E+00,,
768,2.00E-01,2.48E+00,,
769,4.00E-02,2.36E+00,,
770,8.00E-02,2.36E+00,,
771,0.00E+00,2.48E+00,,
772,4.00E-02,2.40E+00,,
773,-8.00E-02,2.32E+00,,
774,0.00E+00,2.40E+00,,
775,-1.60E-01,2.28E+00,,
776,-1.20E-01,2.36E+00,,
777,-2.40E-01,2.24E+00,,
778,-1.60E-01,2.24E+00,,
779,-2.80E-01,2.36E+00,,
780,-2.40E-01,2.32E+00,,
781,-3.60E-01,2.20E+00,,
782,-2.80E-01,2.20E+00,,
783,-4.40E-01,2.28E+00,,
784,-3.60E-01,2.28E+00,,
785,-4.80E-01,2.16E+00,,
786,-4.00E-01,2.24E+00,,
787,-5.60E-01,2.12E+00,,
788,-4.80E-01,2.20E+00,,
789,-6.00E-01,2.08E+00,,
790,-5.20E-01,2.16E+00,,
791,-6.80E-01,2.08E+00,,
792,-6.00E-01,2.16E+00,,
793,-7.20E-01,2.04E+00,,
794,-6.40E-01,2.12E+00,,
795,-7.60E-01,2.00E+00,,
796,-6.80E-01,2.08E+00,,
797,-8.40E-01,1.96E+00,,
798,-7.60E-01,2.04E+00,,
799,-8.80E-01,1.92E+00,,
800,-8.00E-01,2.00E+00,,
801,-9.60E-01,1.88E+00,,
802,-8.80E-01,1.96E+00,,
803,-1.00E+00,1.84E+00,,
804,-9.20E-01,1.92E+00,,
805,-1.04E+00,1.80E+00,,
806,-9.60E-01,1.88E+00,,
807,-1.12E+00,1.76E+00,,
808,-1.04E+00,1.84E+00,,
809,-1.16E+00,1.72E+00,,
810,-1.08E+00,1.80E+00,,
811,-1.24E+00,1.68E+00,,
812,-1.16E+00,1.76E+00,,
813,-1.28E+00,1.64E+00,,
814,-1.20E+00,1.72E+00,,
815,-1.32E+00,1.56E+00,,
816,-1.28E+00,1.64E+00,,
817,-1.40E+00,1.52E+00,,
818,-1.32E+00,1.60E+00,,
819,-1.48E+00,1.48E+00,,
820,-1.40E+00,1.56E+00,,
821,-1.52E+00,1.44E+00,,
822,-1.44E+00,1.52E+00,,
823,-1.56E+00,1.40E+00,,
824,-1.48E+00,1.48E+00,,
825,-1.60E+00,1.32E+00,,
826,-1.52E+00,1.40E+00,,
827,-1.68E+00,1.28E+00,,
828,-1.56E+00,1.36E+00,,
829,-1.72E+00,1.24E+00,,
830,-1.64E+00,1.32E+00,,
831,-1.76E+00,1.16E+00,,
832,-1.68E+00,1.24E+00,,
833,-1.80E+00,1.08E+00,,
834,-1.72E+00,1.16E+00,,
835,-1.84E+00,1.04E+00,,
836,-1.76E+00,1.12E+00,,
837,-1.88E+00,9.60E-01,,
838,-1.80E+00,1.04E+00,,
839,-1.92E+00,9.20E-01,,
840,-1.96E+00,1.00E+00,,
841,-1.84E+00,8.80E-01,,
842,-1.88E+00,9.60E-01,,
843,-2.00E+00,8.00E-01,,
844,-1.92E+00,8.80E-01,,
845,-2.04E+00,7.60E-01,,
846,-1.96E+00,8.40E-01,,
847,-2.08E+00,6.80E-01,,
848,-1.96E+00,7.60E-01,,
849,-2.12E+00,6.40E-01,,
850,-2.00E+00,7.20E-01,,
851,-2.16E+00,6.00E-01,,
852,-2.16E+00,6.40E-01,,
853,-2.04E+00,5.20E-01,,
854,-2.20E+00,6.00E-01,,
855,-2.08E+00,4.40E-01,,
856,-2.12E+00,5.20E-01,,
857,-2.24E+00,4.00E-01,,
858,-2.16E+00,4.80E-01,,
859,-2.28E+00,3.60E-01,,
860,-2.28E+00,4.40E-01,,
861,-2.16E+00,2.80E-01,,
862,-2.32E+00,3.60E-01,,
863,-2.20E+00,2.40E-01,,
864,-2.36E+00,3.20E-01,,
865,-2.24E+00,1.60E-01,,
866,-2.36E+00,2.40E-01,,
867,-2.24E+00,8.00E-02,,
868,-2.40E+00,2.00E-01,,
869,-2.28E+00,4.00E-02,,
870,-2.40E+00,8.00E-02,,
871,-2.28E+00,0.00E+00,,
872,-2.32E+00,4.00E-02,,
873,-2.44E+00,-8.00E-02,,
874,-2.32E+00,0.00E+00,,
875,-2.44E+00,-1.60E-01,,
876,-2.44E+00,-1.20E-01,,
877,-2.40E+00,-2.40E-01,,
878,-2.48E+00,-1.60E-01,,
879,-2.36E+00,-2.80E-01,,
880,-2.36E+00,-2.40E-01,,
881,-2.48E+00,-3.60E-01,,
882,-2.48E+00,-2.80E-01,,
883,-2.40E+00,-4.40E-01,,
884,-2.44E+00,-3.60E-01,,
885,-2.52E+00,-4.80E-01,,
886,-2.40E+00,-4.00E-01,,
887,-2.52E+00,-5.60E-01,,
888,-2.52E+00,-4.80E-01,,
889,-2.40E+00,-6.00E-01,,
890,-2.52E+00,-5.20E-01,,
891,-2.40E+00,-6.80E-01,,
892,-2.52E+00,-6.00E-01,,
893,-2.40E+00,-7.20E-01,,
894,-2.52E+00,-6.40E-01,,
895,-2.40E+00,-7.60E-01,,
896,-2.52E+00,-6.80E-01,,
897,-2.40E+00,-8.40E-01,,
898,-2.52E+00,-7.60E-01,,
899,-2.40E+00,-8.80E-01,,
900,-2.52E+00,-8.00E-01,,
901,-2.40E+00,-9.60E-01,,
902,-2.40E+00,-8.80E-01,,
903,-2.52E+00,-1.00E+00,,
904,-2.52E+00,-9.20E-01,,
905,-2.40E+00,-1.04E+00,,
906,-2.40E+00,-9.60E-01,,
907,-2.52E+00,-1.12E+00,,
908,-2.48E+00,-1.04E+00,,
909,-2.44E+00,-1.16E+00,,
910,-2.48E+00,-1.08E+00,,
911,-2.36E+00,-1.24E+00,,
912,-2.48E+00,-1.16E+00,,
913,-2.36E+00,-1.28E+00,,
914,-2.48E+00,-1.20E+00,,
915,-2.36E+00,-1.32E+00,,
916,-2.44E+00,-1.28E+00,,
917,-2.36E+00,-1.40E+00,,
918,-2.44E+00,-1.32E+00,,
919,-2.32E+00,-1.48E+00,,
920,-2.40E+00,-1.40E+00,,
921,-2.32E+00,-1.52E+00,,
922,-2.40E+00,-1.44E+00,,
923,-2.28E+00,-1.56E+00,,
924,-2.40E+00,-1.48E+00,,
925,-2.32E+00,-1.60E+00,,
926,-2.36E+00,-1.52E+00,,
927,-2.24E+00,-1.68E+00,,
928,-2.32E+00,-1.56E+00,,
929,-2.28E+00,-1.72E+00,,
930,-2.32E+00,-1.64E+00,,
931,-2.20E+00,-1.76E+00,,
932,-2.28E+00,-1.68E+00,,
933,-2.16E+00,-1.80E+00,,
934,-2.24E+00,-1.72E+00,,
935,-2.12E+00,-1.84E+00,,
936,-2.12E+00,-1.76E+00,,
937,-2.24E+00,-1.88E+00,,
938,-2.20E+00,-1.80E+00,,
939,-2.08E+00,-1.92E+00,,
940,-2.16E+00,-1.96E+00,,
941,-2.04E+00,-1.84E+00,,
942,-2.12E+00,-1.88E+00,,
943,-2.00E+00,-2.00E+00,,
944,-2.08E+00,-1.92E+00,,
945,-1.96E+00,-2.04E+00,,
946,-2.08E+00,-1.96E+00,,
947,-1.92E+00,-2.08E+00,,
948,-1.92E+00,-1.96E+00,,
949,-2.04E+00,-2.12E+00,,
950,-2.00E+00,-2.00E+00,,
951,-1.88E+00,-2.16E+00,,
952,-1.96E+00,-2.16E+00,,
953,-1.84E+00,-2.04E+00,,
954,-1.92E+00,-2.20E+00,,
955,-1.80E+00,-2.08E+00,,
956,-1.88E+00,-2.12E+00,,
957,-1.76E+00,-2.24E+00,,
958,-1.84E+00,-2.16E+00,,
959,-1.68E+00,-2.28E+00,,
960,-1.80E+00,-2.28E+00,,
961,-1.64E+00,-2.16E+00,,
962,-1.76E+00,-2.32E+00,,
963,-1.60E+00,-2.20E+00,,
964,-1.72E+00,-2.36E+00,,
965,-1.56E+00,-2.24E+00,,
966,-1.64E+00,-2.36E+00,,
967,-1.52E+00,-2.24E+00,,
968,-1.60E+00,-2.40E+00,,
969,-1.48E+00,-2.28E+00,,
970,-1.56E+00,-2.40E+00,,
971,-1.40E+00,-2.28E+00,,
972,-1.48E+00,-2.32E+00,,
973,-1.36E+00,-2.44E+00,,
974,-1.44E+00,-2.32E+00,,
975,-1.28E+00,-2.44E+00,,
976,-1.36E+00,-2.44E+00,,
977,-1.28E+00,-2.40E+00,,
978,-1.32E+00,-2.48E+00,,
979,-1.20E+00,-2.36E+00,,
980,-1.28E+00,-2.36E+00,,
981,-1.12E+00,-2.48E+00,,
982,-1.20E+00,-2.48E+00,,
983,-1.12E+00,-2.40E+00,,
984,-1.16E+00,-2.44E+00,,
985,-1.00E+00,-2.52E+00,,
986,-1.12E+00,-2.40E+00,,
987,-9.60E-01,-2.52E+00,,
988,-1.04E+00,-2.52E+00,,
989,-9.20E-01,-2.40E+00,,
990,-1.00E+00,-2.52E+00,,
991,-8.40E-01,-2.40E+00,,
992,-9.60E-01,-2.52E+00,,
993,-8.00E-01,-2.40E+00,,
994,-8.80E-01,-2.52E+00,,
995,-7.20E-01,-2.40E+00,,
996,-8.40E-01,-2.52E+00,,
997,-6.80E-01,-2.40E+00,,
998,-7.60E-01,-2.52E+00,,
999,-6.40E-01,-2.40E+00,,
1000,-7.20E-01,-2.52E+00,,
1001,-5.60E-01,-2.40E+00,,
1002,-6.40E-01,-2.40E+00,,
1003,-5.20E-01,-2.52E+00,,
1004,-5.60E-01,-2.52E+00,,
1005,-4.40E-01,-2.40E+00,,
1006,-5.20E-01,-2.40E+00,,
1007,-3.60E-01,-2.52E+00,,
1008,-4.40E-01,-2.48E+00,,
1009,-3.20E-01,-2.44E+00,,
1010,-4.00E-01,-2.48E+00,,
1011,-2.80E-01,-2.36E+00,,
1012,-3.60E-01,-2.48E+00,,
1013,-2.00E-01,-2.36E+00,,
1014,-2.80E-01,-2.48E+00,,
1015,-1.20E-01,-2.36E+00,,
1016,-2.40E-01,-2.44E+00,,
1017,-8.00E-02,-2.36E+00,,
1018,-1.20E-01,-2.44E+00,,
1019,0.00E+00,-2.32E+00,,
1020,-4.00E-02,-2.40E+00,,
1021,8.00E-02,-2.32E+00,,
1022,0.00E+00,-2.40E+00,,
1023,1.20E-01,-2.28E+00,,
1024,8.00E-02,-2.40E+00,,
1025,2.00E-01,-2.32E+00,,
1026,1.20E-01,-2.36E+00,,
1027,2.40E-01,-2.24E+00,,
1028,2.00E-01,-2.32E+00,,
1029,3.20E-01,-2.28E+00,,
1030,2.40E-01,-2.32E+00,,
1031,3.60E-01,-2.20E+00,,
1032,2.80E-01,-2.28E+00,,
1033,4.40E-01,-2.16E+00,,
1034,3.60E-01,-2.24E+00,,
1035,5.20E-01,-2.12E+00,,
1036,4.40E-01,-2.12E+00,,
1037,5.60E-01,-2.24E+00,,
1038,4.80E-01,-2.20E+00,,
1039,6.40E-01,-2.08E+00,,
1040,5.60E-01,-2.16E+00,,
1041,6.80E-01,-2.04E+00,,
1042,6.00E-01,-2.12E+00,,
1043,7.20E-01,-2.00E+00,,
1044,6.80E-01,-2.08E+00,,
1045,8.00E-01,-1.96E+00,,
1046,7.20E-01,-2.08E+00,,
1047,8.40E-01,-1.92E+00,,
1048,7.60E-01,-1.92E+00,,
1049,9.20E-01,-2.04E+00,,
1050,8.40E-01,-2.00E+00,,
1051,9.60E-01,-1.88E+00,,
1052,8.80E-01,-1.96E+00,,
1053,1.04E+00,-1.84E+00,,
1054,9.60E-01,-1.92E+00,,
1055,1.08E+00,-1.80E+00,,
1056,1.00E+00,-1.88E+00,,
1057,1.12E+00,-1.76E+00,,
1058,1.08E+00,-1.84E+00,,
1059,1.24E+00,-1.68E+00,,
1060,1.16E+00,-1.80E+00,,
1061,1.24E+00,-1.64E+00,,
1062,1.20E+00,-1.76E+00,,
1063,1.32E+00,-1.60E+00,,
1064,1.24E+00,-1.72E+00,,
1065,1.36E+00,-1.56E+00,,
1066,1.32E+00,-1.64E+00,,
1067,1.44E+00,-1.52E+00,,
1068,1.36E+00,-1.60E+00,,
1069,1.48E+00,-1.48E+00,,
1070,1.40E+00,-1.56E+00,,
1071,1.52E+00,-1.40E+00,,
1072,1.44E+00,-1.48E+00,,
1073,1.60E+00,-1.36E+00,,
1074,1.52E+00,-1.44E+00,,
1075,1.64E+00,-1.28E+00,,
1076,1.56E+00,-1.36E+00,,
1077,1.68E+00,-1.28E+00,,
1078,1.60E+00,-1.32E+00,,
1079,1.72E+00,-1.20E+00,,
1080,1.64E+00,-1.28E+00,,
1081,1.76E+00,-1.12E+00,,
1082,1.68E+00,-1.20E+00,,
1083,1.80E+00,-1.12E+00,,
1084,1.72E+00,-1.16E+00,,
1085,1.84E+00,-1.00E+00,,
1086,1.76E+00,-1.12E+00,,
1087,1.88E+00,-9.60E-01,,
1088,1.84E+00,-1.04E+00,,
1089,1.92E+00,-9.20E-01,,
1090,1.84E+00,-1.00E+00,,
1091,1.96E+00,-8.40E-01,,
1092,1.88E+00,-9.60E-01,,
1093,2.00E+00,-8.00E-01,,
1094,1.92E+00,-8.80E-01,,
1095,2.04E+00,-7.20E-01,,
1096,1.96E+00,-8.40E-01,,
1097,2.08E+00,-6.80E-01,,
1098,2.00E+00,-7.60E-01,,
1099,2.12E+00,-6.40E-01,,
